id_emprestimo,id_livro,nome_leitor,data_emprestimo,data_devolucao
100,13,Caleb,2024-08-10,2024-10-28
101,30,Cynthia,2024-08-25,2024-10-31
102,30,Wendy,2024-09-23,
103,5,Michael,2024-09-22,
104,36,Virginia,2024-08-08,2024-10-31
105,41,Gregory,2024-09-24,2024-10-25
106,43,Travis,2024-09-16,2024-10-13
107,6,Thomas,2024-08-21,2024-10-22
108,24,Peggy,2024-08-17,2024-10-15
109,21,Martha,2024-08-09,2024-10-28
110,12,Mitchell,2024-08-07,2024-10-13
111,3,Kent,2024-09-08,
112,42,Kari,2024-08-25,2024-10-20
113,22,Tiffany,2024-09-09,
114,4,Elijah,2024-08-23,2024-10-15
115,45,Jacqueline,2024-09-02,2024-10-28
116,14,Kathleen,2024-08-11,2024-10-21
117,21,Annette,2024-09-05,2024-10-25
118,31,Colleen,2024-08-04,
119,42,Manuel,2024-08-15,
120,16,Lisa,2024-09-25,2024-10-29
121,37,Logan,2024-08-13,
122,37,Megan,2024-08-07,2024-10-12
123,8,Walter,2024-08-15,
124,25,Steven,2024-09-05,
125,23,Ashley,2024-09-03,2024-10-12
126,31,Jennifer,2024-09-28,2024-10-30
127,34,Samantha,2024-08-08,2024-10-27
128,35,Michael,2024-09-22,2024-10-18
129,18,Johnathan,2024-08-10,2024-10-21
130,11,Michael,2024-09-14,2024-10-18
131,17,Tracey,2024-09-04,2024-10-17
132,4,Rebekah,2024-09-15,2024-10-23
133,28,Alexander,2024-09-01,2024-10-15
134,1,Stephen,2024-10-01,2024-10-31
135,6,Danielle,2024-08-06,
136,35,Darrell,2024-09-26,2024-10-31
137,45,Richard,2024-09-17,2024-10-21
138,16,Thomas,2024-09-08,2024-10-22
139,3,Brian,2024-09-07,2024-10-27
140,8,Andre,2024-09-11,
141,11,Miguel,2024-09-13,
142,1,Justin,2024-08-27,
143,36,Tina,2024-08-18,2024-10-30
144,47,Richard,2024-08-21,2024-10-19
145,31,Aaron,2024-09-25,2024-10-19
146,32,Lauren,2024-08-13,
147,10,Katherine,2024-09-30,2024-10-29
148,29,Paul,2024-09-28,2024-10-18
149,40,Vanessa,2024-08-14,
